Number,Year,Date,YearlyMaxDailyP
1,1940,23/01/1941 09:00,58
2,1941,05/03/1942 09:00,65
3,1942,29/10/1942 09:00,62.7
4,1943,03/04/1944 09:00,54.5
5,1944,31/10/1944 09:00,56.5
6,1945,19/12/1945 09:00,63.5
7,1946,04/03/1947 09:00,94.4
8,1947,29/01/1948 09:00,85.6
9,1948,12/12/1948 09:00,74
10,1949,02/12/1949 09:00,121.7
11,1950,23/09/1951 09:00,70.2
12,1951,05/11/1951 09:00,151
13,1952,25/01/1953 09:00,116.9
14,1953,11/10/1953 09:00,89.8
15,1954,23/05/1955 09:00,61
16,1955,03/11/1955 09:00,112
17,1956,05/02/1957 09:00,47.3
18,1957,28/01/1958 09:00,162.5
19,1958,19/12/1958 09:00,98.3
20,1959,01/12/1959 09:00,155
21,1960,02/10/1960 09:00,84.8
22,1961,26/11/1961 09:00,103.5
23,1962,27/10/1962 09:00,133
24,1963,30/10/1963 09:00,89.8
25,1964,29/09/1965 09:00,99.6
26,1965,12/01/1966 09:00,83.2
27,1966,04/10/1966 09:00,70
28,1967,09/02/1968 09:00,92.8
29,1968,13/03/1969 09:00,122.3
30,1969,05/01/1970 09:00,107.2
31,1970,06/04/1971 09:00,74.9
32,1971,02/02/1972 09:00,82.5
33,1972,17/01/1973 09:00,120
34,1973,05/11/1973 09:00,116
35,1974,15/11/1974 09:00,46
36,1975,25/09/1976 09:00,48
37,1976,14/01/1977 09:00,132
38,1977,21/12/1977 09:00,103.2
39,1978,09/02/1979 09:00,83.5
40,1979,06/10/1979 09:00,64.5
41,1980,10/04/1981 09:00,58
42,1981,22/12/1981 09:00,103
43,1982,07/11/1982 09:00,71
44,1983,09/11/1983 09:00,103
45,1984,11/02/1985 09:00,106
46,1985,28/12/1985 09:00,89
47,1986,26/09/1987 09:00,70.5
48,1987,13/12/1987 09:00,106
49,1988,26/02/1989 09:00,133.6
50,1989,21/12/1989 09:00,108
51,1990,08/11/1990 09:00,104
52,1991,03/04/1992 09:00,48.5
53,1992,05/12/1992 09:00,69.8
54,1993,09/10/1993 09:00,88.5
